epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1880.24,0.70153,0.66993,0.10126,0.38696,0.82125,0.98882,0.99704,0.99301,0.79637,0.95187,0.95999,0.95355,0.86111,0.78325,0.92928,0.03028,0.37747,0.82427,0.000252066,0.000252066,0.000252066
75,1891.13,0.68614,0.7136,0.09461,0.38409,0.81945,0.98936,1,0.99289,0.79142,0.95193,0.96221,0.94885,0.85555,0.79254,0.93453,0.03055,0.37839,0.82513,0.000243067,0.000243067,0.000243067
76,1905.24,0.69251,0.7134,0.10394,0.38392,0.82526,0.98898,0.99919,0.99353,0.79007,0.956,0.96599,0.95588,0.85525,0.7915,0.9135,0.03302,0.3755,0.82353,0.000234068,0.000234068,0.000234068
77,1945.17,0.69384,0.76277,0.10555,0.3873,0.82615,0.988,0.99957,0.99326,0.79124,0.9532,0.96438,0.95094,0.86001,0.79353,0.92201,0.02997,0.37201,0.82352,0.000225068,0.000225068,0.000225068
78,2010.15,0.69038,0.70986,0.10492,0.38688,0.8276,0.98667,0.99909,0.9928,0.79384,0.94772,0.95986,0.94287,0.85748,0.78333,0.91828,0.02973,0.37124,0.82304,0.000216069,0.000216069,0.000216069
79,2069.91,0.70075,0.68934,0.09363,0.3814,0.82098,0.99108,0.99697,0.99312,0.78952,0.95752,0.95932,0.95109,0.85326,0.7895,0.918,0.0317,0.37205,0.82125,0.00020707,0.00020707,0.00020707
80,2087.43,0.67007,0.68164,0.0977,0.37961,0.81925,0.99014,0.9988,0.99308,0.79115,0.95177,0.96013,0.94625,0.85419,0.78932,0.90981,0.02831,0.36945,0.82121,0.000198071,0.000198071,0.000198071
81,2125.38,0.6925,0.71778,0.09445,0.38094,0.81989,0.9902,0.99628,0.99291,0.78932,0.95761,0.96148,0.95364,0.86132,0.79123,0.90717,0.02839,0.37366,0.82352,0.000189072,0.000189072,0.000189072
82,2182.6,0.68167,0.63144,0.08959,0.37799,0.82204,0.9872,1,0.9933,0.79202,0.94739,0.95977,0.94561,0.86047,0.79077,0.91328,0.03054,0.37146,0.82274,0.000180073,0.000180073,0.000180073
83,2245.09,0.67636,0.68637,0.09374,0.3767,0.81951,0.98814,1,0.99331,0.79245,0.94922,0.96069,0.94596,0.85361,0.7879,0.92834,0.02817,0.36789,0.82217,0.000171074,0.000171074,0.000171074
84,2284.83,0.66211,0.73026,0.09636,0.37611,0.81861,0.9912,0.99714,0.99319,0.7966,0.94861,0.95436,0.93906,0.85229,0.77837,0.92459,0.02771,0.36856,0.82047,0.000162075,0.000162075,0.000162075
85,2331.97,0.66725,0.65593,0.09575,0.37356,0.82203,0.98951,0.99845,0.99278,0.79301,0.95398,0.96264,0.95284,0.86616,0.78158,0.9117,0.02932,0.36904,0.82052,0.000153076,0.000153076,0.000153076
86,2373.15,0.65629,0.62274,0.09832,0.37004,0.82232,0.9885,0.99813,0.99241,0.79353,0.95363,0.96294,0.95441,0.86432,0.7765,0.90894,0.02865,0.36498,0.8188,0.000144077,0.000144077,0.000144077
87,2383.88,0.65373,0.65627,0.09799,0.36312,0.81904,0.98959,0.99766,0.9931,0.79562,0.95556,0.96339,0.95488,0.86681,0.77817,0.89931,0.029,0.36258,0.81924,0.000135077,0.000135077,0.000135077
88,2394.55,0.65164,0.6409,0.08775,0.36224,0.81838,0.98734,0.99834,0.99307,0.79897,0.9533,0.96432,0.95522,0.86713,0.77731,0.89846,0.02921,0.36524,0.81847,0.000126078,0.000126078,0.000126078
89,2405.08,0.64418,0.62831,0.09075,0.36321,0.81949,0.9882,0.99693,0.99289,0.79707,0.95498,0.95742,0.94691,0.85798,0.78233,0.89562,0.0275,0.35936,0.81927,0.000117079,0.000117079,0.000117079
90,2424.43,0.65533,0.68184,0.09048,0.36508,0.82126,0.98767,0.99876,0.99353,0.796,0.95199,0.95991,0.95014,0.86286,0.78116,0.89738,0.0281,0.36361,0.8197,0.00010808,0.00010808,0.00010808
91,2573.28,0.63849,0.74469,0.03207,0.3503,0.81076,0.98687,0.99931,0.99333,0.79267,0.95139,0.96358,0.95317,0.85835,0.7972,0.9186,0.02537,0.3679,0.8206,9.9081e-05,9.9081e-05,9.9081e-05
92,2621.36,0.63946,0.80217,0.02835,0.34836,0.81387,0.98766,0.99795,0.99323,0.7943,0.95492,0.96041,0.95492,0.86025,0.7792,0.91285,0.02238,0.36225,0.81952,9.00819e-05,9.00819e-05,9.00819e-05
93,2670.14,0.62547,0.74014,0.02664,0.34288,0.8109,0.98892,0.99995,0.99342,0.79336,0.95281,0.96349,0.95475,0.86386,0.78463,0.90899,0.02209,0.36379,0.81928,8.10828e-05,8.10828e-05,8.10828e-05
94,2721.77,0.61185,0.72228,0.02454,0.33788,0.80187,0.98862,0.99914,0.99315,0.79405,0.95311,0.96335,0.95345,0.86687,0.78352,0.90572,0.02204,0.36331,0.8194,7.20837e-05,7.20837e-05,7.20837e-05
95,2776.93,0.61111,0.72244,0.0258,0.33739,0.80871,0.98903,0.99915,0.99322,0.79441,0.95652,0.96096,0.95397,0.86577,0.78142,0.90793,0.02155,0.35774,0.81902,6.30846e-05,6.30846e-05,6.30846e-05
96,2804.98,0.60906,0.68566,0.02587,0.33284,0.80963,0.99104,0.99886,0.99288,0.79263,0.95473,0.96352,0.95493,0.86745,0.78302,0.89864,0.02088,0.35798,0.81935,5.40855e-05,5.40855e-05,5.40855e-05
97,2816.47,0.60767,0.73381,0.02577,0.3297,0.80647,0.99047,0.99872,0.99319,0.79369,0.95476,0.96297,0.95471,0.87088,0.78036,0.89754,0.01976,0.36098,0.81764,4.50864e-05,4.50864e-05,4.50864e-05
98,2827.22,0.59969,0.68298,0.02581,0.33235,0.8066,0.98995,0.99867,0.99319,0.79665,0.95437,0.96287,0.95609,0.87208,0.7813,0.89419,0.01981,0.35537,0.81787,3.60873e-05,3.60873e-05,3.60873e-05
99,2838.05,0.59219,0.70387,0.02428,0.32555,0.79992,0.99075,0.99856,0.99288,0.79847,0.95514,0.96276,0.95574,0.87403,0.77783,0.89549,0.02,0.35472,0.81838,2.70882e-05,2.70882e-05,2.70882e-05
100,2848.92,0.59712,0.78006,0.02216,0.32515,0.81116,0.98981,0.99865,0.99296,0.79786,0.95425,0.96284,0.95657,0.87392,0.77778,0.89243,0.01967,0.35178,0.81831,1.80891e-05,1.80891e-05,1.80891e-05
