epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,772.97,1.09631,0.64404,1.05765,0.78316,0.79121,0.80851,0.51991,1.49665,0.84689,1.36598,0.000251309,0.000251309,0.000251309
104,780.124,1.09943,0.67374,1.09188,0.80589,0.75894,0.79697,0.51926,1.48267,0.84207,1.34833,0.000246234,0.000246234,0.000246234
105,787.912,1.05239,0.66204,1.07639,0.83024,0.73137,0.80013,0.51773,1.48233,0.90503,1.36934,0.000241158,0.000241158,0.000241158
106,795.664,1.05461,0.64008,1.04828,0.80816,0.75599,0.80808,0.52107,1.46953,0.84747,1.3495,0.000236083,0.000236083,0.000236083
107,803.365,1.07057,0.64483,1.04944,0.82666,0.73817,0.81086,0.52018,1.47246,0.82198,1.35544,0.000231008,0.000231008,0.000231008
108,811.113,1.06484,0.641,1.05524,0.80795,0.77495,0.81595,0.52464,1.46778,0.82966,1.34845,0.000225932,0.000225932,0.000225932
109,818.378,1.06171,0.631,1.04935,0.80928,0.76436,0.81567,0.52762,1.45805,0.84635,1.34625,0.000220857,0.000220857,0.000220857
110,825.762,1.06706,0.63531,1.0613,0.81327,0.76127,0.80875,0.51847,1.46591,0.84094,1.36333,0.000215781,0.000215781,0.000215781
111,833.395,1.06352,0.62798,1.0341,0.80711,0.7413,0.80586,0.51944,1.47255,0.84319,1.35069,0.000210706,0.000210706,0.000210706
112,840.798,1.05703,0.63632,1.06197,0.79331,0.77405,0.80184,0.51537,1.48118,0.85077,1.36768,0.000205631,0.000205631,0.000205631
113,847.926,1.04791,0.64381,1.06419,0.79844,0.77665,0.8075,0.51944,1.46638,0.83061,1.34595,0.000200555,0.000200555,0.000200555
114,855.262,1.03764,0.61878,1.03911,0.82326,0.75517,0.81176,0.52731,1.46145,0.81028,1.34581,0.00019548,0.00019548,0.00019548
115,862.728,1.05428,0.6437,1.08068,0.80437,0.77303,0.8084,0.51584,1.46823,0.845,1.34999,0.000190404,0.000190404,0.000190404
116,870.328,1.02467,0.63273,1.0532,0.81458,0.7287,0.80103,0.51122,1.47992,0.84448,1.35539,0.000185329,0.000185329,0.000185329
117,877.722,1.03475,0.6179,1.04998,0.79975,0.72925,0.79925,0.51271,1.47009,0.85924,1.35593,0.000180254,0.000180254,0.000180254
118,885.435,0.99211,0.59972,1.0403,0.80823,0.75628,0.81151,0.51707,1.47348,0.83978,1.36357,0.000175178,0.000175178,0.000175178
119,892.382,1.01294,0.61904,1.06284,0.81001,0.76749,0.80574,0.51377,1.48742,0.83608,1.36677,0.000170103,0.000170103,0.000170103
120,899.621,1.04146,0.63243,1.04718,0.8044,0.76072,0.81027,0.51829,1.47781,0.82939,1.36532,0.000165027,0.000165027,0.000165027
121,907.361,1.02715,0.60359,1.0422,0.82306,0.75057,0.80993,0.51794,1.46952,0.83663,1.36802,0.000159952,0.000159952,0.000159952
122,914.399,1.0003,0.6009,1.03698,0.82247,0.74927,0.79738,0.51512,1.46559,0.84753,1.36266,0.000154877,0.000154877,0.000154877
123,922.222,1.00462,0.61106,1.03648,0.79932,0.76821,0.80374,0.51897,1.46527,0.86931,1.3662,0.000149801,0.000149801,0.000149801
124,929.961,1.00195,0.57784,1.03218,0.80691,0.75759,0.8009,0.52202,1.4707,0.85474,1.37489,0.000144726,0.000144726,0.000144726
125,937.449,1.00124,0.60669,1.04868,0.80594,0.76922,0.8021,0.52241,1.47493,0.8113,1.37065,0.00013965,0.00013965,0.00013965
126,945.306,0.98855,0.595,1.02372,0.80761,0.75475,0.79709,0.50792,1.47917,0.85697,1.38227,0.000134575,0.000134575,0.000134575
127,953.144,0.99886,0.59928,1.0408,0.80678,0.75672,0.79584,0.50994,1.47155,0.83894,1.36899,0.0001295,0.0001295,0.0001295
128,960.762,0.99283,0.60981,1.04363,0.80632,0.75157,0.80734,0.51905,1.47851,0.81601,1.37184,0.000124424,0.000124424,0.000124424
129,968.486,0.99839,0.59592,1.02409,0.81105,0.75845,0.80554,0.52097,1.46843,0.84369,1.36364,0.000119349,0.000119349,0.000119349
130,976.072,0.97016,0.57445,1.01938,0.77737,0.76672,0.80147,0.5175,1.46926,0.86336,1.36564,0.000114273,0.000114273,0.000114273
131,983.721,0.97733,0.58486,1.03285,0.75735,0.80394,0.80988,0.52522,1.47792,0.82956,1.36887,0.000109198,0.000109198,0.000109198
132,991.393,0.96523,0.57887,1.02548,0.79033,0.76694,0.80992,0.52263,1.47268,0.83911,1.36353,0.000104123,0.000104123,0.000104123
