epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4525.96,0.6459,0.46675,0.11314,0.3736,1.01563,0.98617,0.9743,0.99311,0.83685,0.95444,0.92008,0.93615,0.85129,0.71104,0.87194,0.10365,0.32517,1.07876,0.000423049,0.000423049,0.000423049
56,4667.62,0.6489,0.44244,0.10905,0.37203,1.02187,0.98155,0.97747,0.99338,0.83777,0.95228,0.92218,0.93331,0.84334,0.70777,0.85382,0.07795,0.32182,1.07211,0.000414049,0.000414049,0.000414049
57,4764.72,0.62832,0.43639,0.10884,0.36315,1.0169,0.98229,0.98212,0.99366,0.84569,0.97008,0.92535,0.95142,0.87151,0.70191,0.84674,0.10711,0.31815,1.07052,0.00040505,0.00040505,0.00040505
58,4817.33,0.63598,0.40902,0.10636,0.36331,1.01074,0.9877,0.98274,0.99361,0.84367,0.95642,0.91974,0.94537,0.87585,0.69702,0.82188,0.08487,0.31611,1.07629,0.000396051,0.000396051,0.000396051
59,4947.41,0.62528,0.38857,0.10054,0.36005,1.01522,0.98025,0.97977,0.99361,0.84385,0.9563,0.92312,0.94275,0.85525,0.69269,0.83641,0.11714,0.31475,1.06941,0.000387052,0.000387052,0.000387052
60,5084.89,0.62525,0.41423,0.10078,0.35896,1.00489,0.98331,0.98121,0.99219,0.8374,0.94671,0.92737,0.93851,0.86091,0.6846,0.80363,0.07835,0.31137,1.06862,0.000378053,0.000378053,0.000378053
61,5166.94,0.61518,0.38181,0.09846,0.35294,1.00726,0.96942,0.98796,0.99338,0.83937,0.95473,0.91563,0.93812,0.84772,0.6892,0.83089,0.09352,0.31477,1.06696,0.000369054,0.000369054,0.000369054
62,5268.96,0.62006,0.40803,0.09924,0.35124,1.00761,0.98259,0.98576,0.99301,0.84269,0.94716,0.92697,0.93964,0.85903,0.68567,0.79997,0.07146,0.3099,1.06794,0.000360055,0.000360055,0.000360055
63,5316.2,0.60796,0.38638,0.10335,0.34705,1.00123,0.98519,0.97349,0.99295,0.8377,0.94616,0.92622,0.94574,0.86457,0.70975,0.81266,0.08252,0.31806,1.08866,0.000351056,0.000351056,0.000351056
64,5363.39,0.61721,0.3959,0.10354,0.35088,1.00271,0.98709,0.97988,0.99336,0.84954,0.95065,0.92779,0.94718,0.87002,0.69064,0.78731,0.07948,0.31189,1.06748,0.000342057,0.000342057,0.000342057
