epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1428.18,0.69037,0.39157,0.0915,0.38167,1.00229,0.97307,0.99354,0.99283,0.78961,0.94588,0.94827,0.93755,0.86252,0.83098,0.65854,0.0407,0.33568,1.09545,0.000117079,0.000117079,0.000117079
90,1442.69,0.68671,0.38049,0.08699,0.37589,1.00809,0.97594,0.99443,0.99309,0.78721,0.95342,0.95139,0.94562,0.86721,0.83388,0.65694,0.03978,0.33467,1.09979,0.00010808,0.00010808,0.00010808
91,1459.32,0.6184,0.58963,0.07142,0.31459,0.98301,0.97753,0.99101,0.99403,0.78918,0.95127,0.9506,0.94326,0.86769,0.82818,0.65371,0.03059,0.33276,1.09956,9.9081e-05,9.9081e-05,9.9081e-05
92,1475.76,0.60558,0.59397,0.06317,0.3034,0.97292,0.98306,0.98904,0.9937,0.78719,0.94633,0.94902,0.94318,0.86771,0.83197,0.65743,0.02667,0.32929,1.10048,9.00819e-05,9.00819e-05,9.00819e-05
93,1491.49,0.59849,0.59373,0.05906,0.29844,0.97708,0.97563,0.9956,0.99382,0.78491,0.95144,0.94444,0.94565,0.87183,0.83193,0.66034,0.02584,0.3284,1.10218,8.10828e-05,8.10828e-05,8.10828e-05
94,1507.54,0.5851,0.59453,0.05967,0.29183,0.96188,0.98037,0.994,0.99353,0.78769,0.95123,0.94463,0.93719,0.8601,0.83227,0.65866,0.02446,0.32563,1.10176,7.20837e-05,7.20837e-05,7.20837e-05
95,1523.77,0.58311,0.58542,0.05237,0.28971,0.96279,0.98246,0.99504,0.99325,0.78697,0.94698,0.94151,0.93395,0.86348,0.83647,0.66246,0.02254,0.32577,1.10636,6.30846e-05,6.30846e-05,6.30846e-05
96,1540.01,0.58222,0.58413,0.05425,0.28795,0.96485,0.98242,0.99567,0.99363,0.78512,0.94869,0.94407,0.93603,0.85874,0.83884,0.66538,0.02537,0.3242,1.10995,5.40855e-05,5.40855e-05,5.40855e-05
97,1556.21,0.57672,0.56654,0.05507,0.28555,0.95794,0.98294,0.99387,0.99387,0.78509,0.94966,0.94174,0.93775,0.87453,0.83748,0.65834,0.02421,0.32234,1.10992,4.50864e-05,4.50864e-05,4.50864e-05
98,1572.38,0.56611,0.56942,0.0569,0.28258,0.95584,0.98225,0.99363,0.99403,0.78667,0.94875,0.94084,0.9338,0.86703,0.83621,0.65472,0.02313,0.32548,1.10632,3.60873e-05,3.60873e-05,3.60873e-05
99,1588.49,0.56943,0.555,0.05208,0.27987,0.95259,0.98131,0.99689,0.99346,0.78652,0.9502,0.94536,0.93559,0.86403,0.83665,0.65388,0.02394,0.32337,1.10985,2.70882e-05,2.70882e-05,2.70882e-05
100,1604.75,0.56121,0.56209,0.04939,0.27564,0.95132,0.98142,0.99532,0.99347,0.78666,0.94459,0.94404,0.92929,0.86136,0.83589,0.65341,0.02287,0.32428,1.10871,1.80891e-05,1.80891e-05,1.80891e-05
