epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,1236.43,0.84283,0.90047,0.19038,0.50109,0.8806,0.97591,0.98902,0.98802,0.76762,0.93218,0.94063,0.92467,0.7888,0.90991,1.24935,0.05972,0.47727,0.88145,0.000495041,0.000495041,0.000495041
48,1264.23,0.85221,0.92135,0.18893,0.50113,0.87686,0.9815,0.98655,0.9892,0.76886,0.93846,0.9461,0.936,0.7963,0.89627,1.22889,0.05837,0.48109,0.87804,0.000486042,0.000486042,0.000486042
49,1294.35,0.82264,0.81831,0.18392,0.49403,0.87175,0.98327,0.98543,0.98967,0.77173,0.94463,0.94441,0.93939,0.7922,0.8841,1.25363,0.05874,0.47099,0.87389,0.000477043,0.000477043,0.000477043
50,1327.69,0.83099,0.94916,0.18358,0.47898,0.87296,0.98499,0.98183,0.98967,0.77921,0.94546,0.94094,0.93497,0.78386,0.89328,1.25929,0.05783,0.47627,0.8765,0.000468044,0.000468044,0.000468044
51,1366.67,0.82101,0.81415,0.1867,0.48735,0.86688,0.98469,0.98462,0.98934,0.77555,0.94621,0.94163,0.93958,0.79815,0.89752,1.25086,0.05441,0.46882,0.87865,0.000459045,0.000459045,0.000459045
52,118.63,0.84242,0.94879,0.17952,0.49263,0.87385,0.98488,0.98303,0.98743,0.76965,0.94184,0.94642,0.93798,0.78447,0.90352,1.28065,0.05134,0.47896,0.88276,0.000450046,0.000450046,0.000450046
53,262.321,0.83605,0.86587,0.17495,0.4955,0.87652,0.98917,0.98353,0.99069,0.77552,0.94255,0.94674,0.93864,0.79516,0.88807,1.27901,0.05009,0.46737,0.87805,0.000441047,0.000441047,0.000441047
54,370.709,0.84597,0.86911,0.18715,0.48056,0.88356,0.98406,0.98845,0.98999,0.77632,0.94085,0.94263,0.94112,0.79607,0.89378,1.25607,0.05287,0.4676,0.87678,0.000432048,0.000432048,0.000432048
55,442.062,0.83779,0.89003,0.18663,0.48786,0.87691,0.98197,0.98665,0.99055,0.77512,0.94141,0.94236,0.93397,0.79696,0.89835,1.25085,0.05244,0.47103,0.88073,0.000423049,0.000423049,0.000423049
56,470.934,0.83146,0.94475,0.17241,0.48159,0.87903,0.98696,0.97794,0.98933,0.77372,0.9474,0.93786,0.94204,0.79608,0.89427,1.27206,0.05196,0.46737,0.88062,0.000414049,0.000414049,0.000414049
57,583.61,0.81445,0.81567,0.17423,0.47024,0.87425,0.98855,0.9865,0.98944,0.77717,0.94609,0.94378,0.94161,0.80265,0.88468,1.23292,0.05257,0.44869,0.87769,0.00040505,0.00040505,0.00040505
58,691.775,0.8124,0.76683,0.18458,0.46787,0.87756,0.98485,0.98436,0.99012,0.77942,0.94338,0.94385,0.94398,0.8061,0.88696,1.23988,0.05389,0.45104,0.87402,0.000396051,0.000396051,0.000396051
